recette, couleur, appelation, domaine, cuvee
gigotananas, rouge, Saint-Joseph, DomaineLouisChèze, LesAnges
tarte abricots amandes, blanc, Tokay, DomaineDiznoko, TokajiAozu
tarte pommes amandes, blanc, Tokay, DomaineDiznoko, TokajiAozu
sauce bearnaise, rouge, Saint-Emilion(ChâteauFrancPatarabetSaint-Emilion, ChâteauLaGaffelière, -
rouleaux de ouessant, blanc, Jasnière, DomainedeCézin, -
farsdu legumes, rouge, SaintEmilion, ChateauFrancPatarabet, -
plateaudefruitsdemer, blanc, DaumasGassacJasnière, DomainedeCézin, -
plateaudefruitsdemer, blanc, MenetouSalon, classique, -
farsdu, rouge, SaintEmilion, ChateauFrancPatarabet, -
kighafars, rouge, SaintEmilion, ChateauFrancPatarabet, -
gateaubreton, blanc, AlsaceGewurztraminer, GrandCruKaefferkopf-DomaineLéonBaur, -
gateaubreton, blanc, Roussillon, Mauryblanc-Lesvignesd'Elodie, -
kouignamann, blanc, AlsaceGewurztraminer, GrandCruKaefferkopf-DomaineLéonBaur, -
kouignamann, blanc, Roussillon, Mauryblanc-Lesvignesd'Elodie, -
brochettedepoisson, blanc, DaumasGassacJasnière, DomainedeCézin, -
tagine poisson, blanc, DaumasGassacouJasnière, DomainedeCézin, -
brochettedeviande, rouge, SaintEmilion, ChateauFrancPatarabet, -
couscous, rouge, SaintEmilion, ChateauFrancPatarabet, -
couscous, rouge, CôteduRhône, ChâteauLaborie, -
couscous, rouge, Corbière, ChâteauRomilhac, -
epaulevapeur, rouge, Bandol, Tournier, ChateauRocheRedonne
tagine coing, rouge, ChateauneufduPape, BoisrenardouBeaurenard, -
tagine coing, blanc, Sauterne, Haut-Bergeron, -
tagine coing, blanc, Loupiac, ChâteauLaNèredeSéraphon, -
tagine kefta, rouge, ChateauneufduPape, BoisrenardouBeaurenard, -
tagine oignons, rouge, ChateauneufduPape, BoisrenardouBeaurenard, -
tagine poulet, blanc, Graves, Pessac-Léonan-DomainedeLaSolitude, -
tagine pruneaux, rouge, ChateauneufduPape, BoisrenardouBeaurenard, -
Wiener Schnitzel, rosé, Bandol, DomaineGuilhemTournier-CuvéeLaMalissone, -
